first,mid,last,city,state,birth date
Sam,I,Swift,Lynchburg,VA,12/03/00
Darth,A,Pitt,Stafford,VA,07/14/02
Katy,Q,Andor,Baltimore,MD,07/23/99
Boomer,D,Baltar,Columbia,SC,03/17/92
Beyonce,X,Trump,St. Marys,MD,02/04/90
Rey,Q,Marshall,Harrisburg,PA,09/16/00
Bodhi,M,Kenobi,Philadelphia,PA,01/05/02
Zoe,M,Gamgee,York,PA,03/12/98
Wash,S,Tyrol,Rochester,NY,11/06/94
Steve,Z,Ravishankar,Spotsylvania,VA,05/09/02
Jay,G,Anewalt,Philadelphia,PA,03/15/90
Jyn,U,Marshall,Richmond,VA,06/19/97
Apollo,V,Phasma,Charleston,SC,06/29/02
Lady,K,Rock,Baltimore,MD,10/29/95
Daenerys,H,Stark,Blacksburg,VA,08/14/91
Frodo,N,Targaryen,Annapolis,MD,01/21/93
Obi-wan,Y,Stark,Pittsburgh,PA,02/22/93
Saul,N,Imwe,Alexandria,VA,03/29/02
Tyrion,L,Aniston,Richmond,VA,11/29/97
Sharon,O,Erso,Washington,DC,03/29/02
Steve,G,Gamgee,Spotsylvania,VA,06/07/77
Galen,N,Finlayson,Philadelphia,PA,07/09/96
Cersei,Y,Rock,Baltimore,MD,11/04/82
Yoda,L,Tyrol,Geneva,NY,09/04/90
Anakin,V,Finlayson,New York,NY,04/04/02
Jon,G,Pitt,Richmond,VA,01/19/92
Darth,G,Greyjoy,Salisbury,MD,08/07/87
Anakin,P,Targaryen,Philadelphia,PA,09/29/02
Steve,B,Roslin,Washington,DC,12/26/02
Jon,X,Thrace,Stafford,VA,01/06/02
Mal,B,Greyjoy,Annapolis,MD,03/22/88
Karen,S,Stark,Stafford,VA,05/23/02
Karen,I,Rook,Geneva,NY,07/21/02
Wash,S,Incredible,Faquier,VA,11/04/95
Rey,S,Tyrell,Brooklyn,NY,11/14/02
Pippin,N,Malbus,Baltimore,MD,04/04/88
Hadley,Z,Tigh,St. Marys,MD,02/26/02
Galen,T,Martell,Greenville,SC,07/08/02
Hadley,H,Stark,Alexandria,VA,11/24/02
Gimli,U,Polack,Washington,DC,10/13/82
Galen,E,Martell,Rochester,NY,04/07/02
Halo,W,Anders,Alexandria,VA,07/03/02
Jon,G,Aniston,Salisbury,MD,10/05/99
Yoda,S,Tyrell,Charlottesville,VA,12/08/90
Saw,N,Andor,Charlotte,NC,12/10/85
Boomer,I,Greyjoy,Albany,NY,08/18/02
Brad,J,Erso,Blacksburg,VA,09/21/02
Karen,C,Targaryen,Raleigh,NC,07/16/77
Saul,Y,Organa,Spotsylvania,VA,11/24/99
Saruman,A,Thrace,Geneva,NY,11/21/02
Laura,M,Malbus,Washington,DC,09/18/02
Karen,J,Erso,Charlotte,NC,10/18/01
Zoe,W,Gaga,Wilmington,NC,08/16/84
Natasha,A,Gaga,Greenville,SC,05/14/78
Veena,M,Erso,Arlington,VA,07/22/98
Matt,H,Gerrera,St. Marys,MD,08/29/84
Merry,V,Skywalker,Charlotte,NC,07/15/02
Sauron,X,Skywalker,Charlotte,NC,10/26/02
Legolas,B,Perry,St. Marys,MD,03/28/02
Merry,E,Organa,Salisbury,MD,08/09/92
Steve,Q,Aniston,Stafford,VA,09/30/02
Bilbo,N,Martell,New York,NY,04/24/92
Galadriel,I,Finlayson,Washington,DC,08/22/83
Legolas,E,Skywalker,Raleigh,NC,05/23/02
Boomer,N,Adama,Fredericksburg,VA,06/01/99
Jon,P,Thrace,Washington,DC,09/17/97
Halo,X,Ravishankar,St. Marys,MD,12/29/01
Jennifer,A,Baggins,York,PA,09/20/89
Pippin,Z,Anewalt,Washington,DC,01/30/70
Daenerys,Z,Imwe,Baltimore,MD,08/20/74
Anakin,O,Wickham,Stafford,VA,01/23/84
Anakin,T,Stark,St. Marys,MD,09/10/02
Saul,T,Perry,Alexandria,VA,06/21/00
Taylor,Y,Lannister,Salisbury,MD,11/18/80
Darth,X,Polack,Greensboro,NC,10/07/99
Robb,B,Perry,Brooklyn,NY,07/24/82
Wash,K,Targaryen,Washington,DC,02/14/02
Mal,P,Pitt,Stafford,VA,07/06/78
Darth,D,Lannister,Charleston,SC,08/06/97
Halo,B,Baggins,Stafford,VA,09/04/02
Bruce,B,Tigh,Raleigh,NC,04/25/94
Sauron,B,Gaga,Washington,DC,05/29/70
Veena,Z,Gaga,Lynchburg,VA,11/12/93
Sam,K,Kenobi,Stafford,VA,08/17/02
Tywin,W,Thrace,Washington,DC,02/17/81
Yoda,C,Baggins,Annapolis,MD,11/07/79
Bruce,Y,Adama,Charlotte,NC,09/19/00
Jay,R,Aniston,Arlington,VA,01/12/02
Darth,P,Obama,Washington,DC,02/11/02
Veena,U,Gaga,Salisbury,MD,10/15/72
Darth,I,Imwe,Greenville,SC,10/12/87
Jennifer,J,Swift,Lynchburg,VA,09/29/01
Steve,L,Lannister,Alexandria,VA,05/20/90
Robb,G,Davies,Greensboro,NC,02/21/86
Cassian,E,Baggins,York,PA,12/23/98
Robb,T,Lannister,Geneva,NY,10/05/87
Merry,H,Aniston,St. Marys,MD,07/14/89
Jessica,M,Stark,Charleston,SC,04/02/91
Jessica,Q,Gamgee,Hilton Head,SC,02/14/02
Jon,M,Targaryen,Richmond,VA,03/10/02
Mal,E,Roslin,Raleigh,NC,08/21/93
Gimli,L,Swift,Charlottesville,VA,02/03/83
Daenerys,S,Swift,Rochester,NY,05/24/94
Mal,Y,Lannister,Brooklyn,NY,01/17/97
Sauron,T,Perry,Greenville,SC,07/13/75
Bodhi,P,Imwe,Baltimore,MD,01/09/98
Jessica,N,Trump,Washington,DC,03/07/86
Stephen,N,Ravishankar,Spotsylvania,VA,12/29/86
Lady,N,Agathon,Philadelphia,PA,07/10/95
Luke,H,Adama,Salisbury,MD,01/09/74
Aragorn,D,Martell,Spotsylvania,VA,06/04/85
Aragorn,A,Incredible,Wilmington,NC,05/20/02
Robb,A,Phasma,Lynchburg,VA,02/02/81
Luke,J,Tyrol,New York,NY,03/17/99
Poe,L,Agathon,Greensboro,NC,11/21/01
Saw,L,Erso,Annapolis,MD,03/09/02
Yoda,X,Gerrera,Hershey,PA,10/21/02
Elrond,K,Incredible,Richmond,VA,12/10/01
Elrond,M,Rook,Charlottesville,VA,07/30/83
Rey,V,Roslin,St. Marys,MD,06/03/02
Jamie,L,Polack,Charlottesville,VA,08/18/94
Cersei,Q,Skywalker,Rochester,NY,04/17/02
Gaius,L,Trump,Charleston,SC,02/18/02
Sauron,M,Wickham,Washington,DC,03/18/95
Cassian,U,Rook,Washington,DC,05/27/02
Zoe,T,Martell,Washington,DC,02/05/80
Daenerys,Q,Greyjoy,Charlottesville,VA,07/20/87
Rey,B,Tyrol,Charlotte,NC,02/04/86
Jyn,X,Gerrera,Blacksburg,VA,05/02/02
Tywin,X,Imwe,York,PA,04/01/98
Katy,U,Pitt,New York,NY,06/30/01
Saruman,M,Wickham,Richmond,VA,04/08/02
Saruman,O,Davies,Washington,DC,02/18/94
Taylor,M,Adama,Baltimore,MD,02/07/82
Laura,G,Imwe,St. Marys,MD,03/28/95
Tony,P,Agathon,Baltimore,MD,12/13/02
Rey,Y,Ravishankar,Columbia,SC,12/10/88
Sam,K,Organa,York,PA,12/01/85
Matt,O,Finlayson,New York,NY,07/04/02
Bruce,N,Roslin,Albany,NY,04/23/88
Matt,G,Baggins,Spotsylvania,VA,05/17/85
Katy,Z,Gaga,New York,NY,11/19/02
Merry,D,Tigh,St. Marys,MD,12/20/02
Sauron,T,Obama,Baltimore,MD,02/06/00
Ian,B,Lannister,Blacksburg,VA,10/08/02
Beyonce,R,Roslin,Charlottesville,VA,04/10/02
Karen,W,Finlayson,Pittsburgh,PA,01/12/01
Cassian,I,Malbus,Richmond,VA,10/28/98
Darth,O,Stark,Philadelphia,PA,03/02/77
Boomer,K,Perry,St. Marys,MD,11/23/79
Lady,R,Finlayson,Arlington,VA,04/21/70
Jay,E,Roslin,Brooklyn,NY,07/14/02
Pippin,M,Gaga,Annapolis,MD,03/25/92
Mal,X,Phasma,Geneva,NY,01/02/02
Jennifer,G,Phasma,Rochester,NY,01/17/91
Veena,O,Anewalt,Hilton Head,SC,09/06/83
Hadley,A,Marshall,Philadelphia,PA,06/21/02
Cersei,G,Andor,Blacksburg,VA,04/25/02
Aragorn,R,Gerrera,Alexandria,VA,01/19/88
Galadriel,U,Ravishankar,Washington,DC,08/15/85
Karen,M,Kenobi,Alexandria,VA,12/07/92
Lady,A,Aniston,Arlington,VA,07/11/90
Anakin,J,Phasma,Washington,DC,05/01/94
Galen,U,Martell,Arlington,VA,07/25/02
Jyn,A,Tarkin,Washington,DC,08/07/99
Apollo,R,Stark,Baltimore,MD,01/22/02
Halo,J,Malbus,Fredericksburg,VA,08/11/91
Saul,N,Martell,Charleston,SC,01/23/02
Poe,X,Marshall,Spotsylvania,VA,12/11/02
Saw,X,Phasma,Charleston,SC,03/22/95
Finn,R,Trump,New York,NY,12/29/82
Bilbo,X,Stark,New York,NY,11/02/93
Luke,J,Imwe,Charlotte,NC,04/29/93
Gaius,D,Swift,Baltimore,MD,12/08/80
Wash,C,Phasma,Salisbury,MD,09/11/99
Jamie,G,Agathon,Charleston,SC,07/06/92
Taylor,Z,Perry,Hilton Head,SC,10/13/87
Galadriel,N,Gamgee,Charleston,SC,04/17/73
Saw,A,Skywalker,Annapolis,MD,04/08/87
Elrond,U,Finlayson,St. Marys,MD,11/25/97
Ian,X,Tyrol,Arlington,VA,03/22/02
Anakin,M,Aniston,Harrisburg,PA,07/14/81
Daenerys,P,Baggins,Faquier,VA,04/10/94
Karen,Y,Tigh,Spotsylvania,VA,03/15/87
Finn,H,Organa,Faquier,VA,12/03/84
Saul,A,Perry,Philadelphia,PA,11/06/02
Bilbo,L,Malbus,Spotsylvania,VA,06/04/02
Steve,G,Martell,Annapolis,MD,02/15/98
Galen,S,Lannister,Richmond,VA,03/03/72
Arwen,V,Imwe,Columbia,SC,05/12/76
Jyn,I,Agathon,Richmond,VA,06/26/82
Karen,E,Anewalt,Richmond,VA,10/20/84
Gandalf,M,Davies,Fredericksburg,VA,02/12/83
Chirrut,V,Martell,Brooklyn,NY,07/11/96
Galadriel,X,Rook,Faquier,VA,10/29/02
Jyn,H,Wickham,Lynchburg,VA,12/25/98
Legolas,M,Trump,Alexandria,VA,03/19/02
Robb,W,Greyjoy,Washington,DC,10/17/86
Apollo,G,Baltar,Charlottesville,VA,12/18/83
Darth,A,Obama,Annapolis,MD,02/27/88
Bodhi,W,Targaryen,Baltimore,MD,07/06/88
Bruce,V,Perry,Asheville,NC,10/30/95
Matt,R,Swift,Charlottesville,VA,09/17/02
Brad,K,Organa,Rochester,NY,01/19/97
Poe,E,Roslin,Salisbury,MD,11/08/99
Taylor,L,Finlayson,Wilmington,NC,03/29/92
Brad,V,Phasma,Pittsburgh,PA,11/24/97
Stephen,H,Finlayson,Albany,NY,03/28/90
Zoe,W,Adama,Harrisburg,PA,04/11/99
Cassian,Q,Imwe,Richmond,VA,06/14/92
Saw,U,Davies,Spotsylvania,VA,07/02/75
Hadley,B,Baltar,Washington,DC,02/03/01
Apollo,P,Stark,Washington,DC,10/15/99
Saul,D,Gerrera,Charleston,SC,06/11/02
Yoda,Z,Martell,Baltimore,MD,09/13/02
Poe,T,Imwe,Hilton Head,SC,05/26/02
Bruce,Q,Obama,Hilton Head,SC,03/23/85
Gimli,C,Andor,Lynchburg,VA,04/05/88
Boomer,X,Trump,Rochester,NY,02/11/01
Jay,Q,Organa,Asheville,NC,12/15/94
Bilbo,M,Marshall,Faquier,VA,01/22/98
Andrew,K,Vale,Greensboro,NC,04/15/70
Jyn,O,Kenobi,Rochester,NY,12/12/95
Jon,K,Trump,York,PA,12/29/93
Pippin,A,Agathon,Alexandria,VA,10/21/02
Hadley,B,Roslin,Geneva,NY,04/21/02
Pippin,W,Davies,Asheville,NC,04/14/87
Saul,X,Zeitz,Stafford,VA,01/06/80
Tony,V,Tyrol,Salisbury,MD,05/01/94
Andrew,Q,Skywalker,Pittsburgh,PA,11/24/83
Matt,T,Thrace,Blacksburg,VA,12/05/82
Apollo,M,Martell,Stafford,VA,03/26/92
Bilbo,D,Ravishankar,Greensboro,NC,11/27/78
Laura,N,Wickham,Faquier,VA,10/14/02
Rey,P,Stark,Annapolis,MD,04/04/96
Zoe,M,Skywalker,Columbia,SC,11/18/02
Brad,S,Roslin,Harrisburg,PA,08/10/02
Hadley,J,Baltar,Columbia,SC,12/11/02
Luke,U,Pitt,Faquier,VA,10/25/02
Bodhi,H,Gaga,Annapolis,MD,08/24/01
Tyrion,S,Gamgee,Annapolis,MD,08/30/93
Natasha,H,Baggins,Harrisburg,PA,05/25/89
Jay,L,Roslin,Pittsburgh,PA,02/05/74
Chirrut,Z,Tarkin,Annapolis,MD,07/09/02
Merry,C,Aniston,Washington,DC,12/18/95
Merry,H,Perry,Alexandria,VA,12/12/02
Tywin,E,Swift,Wilmington,NC,04/24/91
Aragorn,G,Tyrol,Columbia,SC,12/14/02
Jay,G,Erso,Lynchburg,VA,09/26/92
Sauron,G,Kenobi,Arlington,VA,10/10/02
Cersei,O,Rock,Hershey,PA,07/21/02
Andrew,V,Zeitz,Greenville,SC,01/08/95
Apollo,Z,Tarkin,Baltimore,MD,07/20/97
Laura,N,Gerrera,Harrisburg,PA,08/12/93
Saruman,X,Gaga,Charlotte,NC,07/20/02
Obi-wan,V,Organa,Annapolis,MD,08/27/95
Elrond,I,Perry,Lynchburg,VA,07/19/02
Boomer,E,Lannister,Stafford,VA,08/13/02
Brad,C,Vale,Lynchburg,VA,03/28/02
Bilbo,C,Ravishankar,Spotsylvania,VA,03/12/02
Jennifer,V,Erso,Salisbury,MD,01/29/93
Daenerys,W,Stark,Wilmington,NC,01/24/02
Pippin,J,Obama,Baltimore,MD,06/01/01
Arwen,B,Rook,Hilton Head,SC,07/13/02
Cersei,O,Tyrell,Charlottesville,VA,09/12/77
Jessica,H,Baggins,Pittsburgh,PA,07/17/79
Sam,Y,Wickham,Blacksburg,VA,03/14/86
Chirrut,I,Obama,Alexandria,VA,12/02/94
Tyrion,O,Lannister,St. Marys,MD,09/28/84
Gimli,A,Organa,York,PA,06/18/02
Yoda,B,Rock,St. Marys,MD,11/04/92
Hadley,R,Andor,Charlottesville,VA,04/20/99
Stephen,M,Swift,St. Marys,MD,12/17/02
Baze,Q,Organa,Washington,DC,08/24/00
Elrond,K,Baltar,Harrisburg,PA,03/09/99
Lady,I,Tigh,Hilton Head,SC,06/07/87
Jyn,A,Greyjoy,Fredericksburg,VA,04/09/02
Apollo,G,Trump,Greenville,SC,11/15/00
Chirrut,E,Agathon,Washington,DC,05/22/82
Jamie,O,Martell,Raleigh,NC,08/17/79
Veena,Q,Stark,Washington,DC,07/01/90
Rey,N,Wickham,Richmond,VA,05/22/95
Gandalf,L,Malbus,Washington,DC,11/05/92
Cassian,E,Tigh,Hilton Head,SC,04/29/96
Chirrut,A,Martell,Hilton Head,SC,10/25/02
Bilbo,R,Kenobi,Pittsburgh,PA,01/12/02
Gimli,O,Anewalt,Hilton Head,SC,10/19/02
Galadriel,J,Finlayson,Asheville,NC,03/22/96
Beyonce,G,Baggins,Spotsylvania,VA,07/02/02
Rey,O,Roslin,Fredericksburg,VA,01/25/93
Pippin,T,Vale,Brooklyn,NY,04/11/02
Zoe,Y,Tyrol,Richmond,VA,09/17/02
Jon,T,Pitt,Hershey,PA,07/12/86
Ian,J,Baggins,Alexandria,VA,02/11/82
Taylor,P,Phasma,St. Marys,MD,12/25/93
Apollo,R,Pitt,Columbia,SC,08/04/96
Bruce,L,Malbus,Lynchburg,VA,10/22/94
Veena,K,Kenobi,New York,NY,02/05/89
Elrond,R,Ravishankar,Lynchburg,VA,05/05/97
Yoda,N,Gaga,Faquier,VA,03/26/00
Bodhi,D,Kenobi,Annapolis,MD,01/10/91
Arwen,O,Vale,Greenville,SC,12/27/93
Arwen,Z,Targaryen,Asheville,NC,02/20/00
Galen,J,Tigh,Faquier,VA,12/12/89
Jon,V,Adama,Charlottesville,VA,03/02/76
Galen,E,Andor,Washington,DC,01/11/94
Katy,L,Imwe,Greensboro,NC,08/09/02
Yoda,D,Organa,Blacksburg,VA,10/19/88
Tywin,X,Anders,Charleston,SC,04/21/02
Aragorn,I,Trump,Lynchburg,VA,11/15/99
Andrew,W,Rock,Brooklyn,NY,04/23/02
Cassian,C,Imwe,Hershey,PA,12/11/02
Galadriel,E,Lannister,Hilton Head,SC,09/01/95
Jyn,R,Anewalt,Rochester,NY,11/22/95
Aragorn,Y,Zeitz,Raleigh,NC,07/14/96
Rey,Q,Swift,Charlottesville,VA,09/22/92
Lady,B,Tarkin,Hilton Head,SC,06/05/00
Sharon,U,Anders,Brooklyn,NY,11/25/92
Andrew,M,Martell,Blacksburg,VA,10/14/02
Finn,G,Tyrol,Baltimore,MD,08/02/95
Gimli,A,Aniston,Washington,DC,04/25/90
Apollo,D,Gaga,Washington,DC,09/08/85
Tyrion,B,Greyjoy,Greenville,SC,12/24/92
Zoe,Q,Baltar,Annapolis,MD,01/21/02
Galen,L,Trump,Charlottesville,VA,05/27/93
Taylor,M,Obama,Charlottesville,VA,07/09/02
Darth,T,Rook,Faquier,VA,10/26/02
Baze,Y,Andor,Columbia,SC,04/23/02
Saw,G,Vale,Charleston,SC,12/13/92
Gimli,Q,Andor,Albany,NY,01/08/02
Saruman,J,Zeitz,Spotsylvania,VA,11/14/85
Lady,D,Imwe,Annapolis,MD,06/04/93
Gandalf,L,Davies,Raleigh,NC,10/04/88
Galen,Q,Targaryen,Faquier,VA,06/29/02
Poe,P,Polack,Faquier,VA,10/04/02
Tyrion,N,Malbus,Salisbury,MD,05/01/94
Bodhi,U,Gamgee,Geneva,NY,12/24/02
Jennifer,T,Tyrol,Charlottesville,VA,05/26/89
Jay,K,Thrace,Annapolis,MD,04/19/84
Galen,O,Erso,Arlington,VA,03/29/02
Jessica,B,Thrace,Lynchburg,VA,07/28/02
Natasha,Z,Baltar,York,PA,12/20/90
Matt,I,Adama,Hilton Head,SC,06/17/97
Steve,P,Tarkin,Washington,DC,01/06/01
Arwen,E,Vale,Charlottesville,VA,08/21/96
Daenerys,N,Martell,Salisbury,MD,10/12/02
Jessica,J,Perry,Geneva,NY,04/27/85
Cassian,I,Erso,Baltimore,MD,07/28/96
Jay,S,Rock,Washington,DC,06/12/95
Obi-wan,B,Baggins,Pittsburgh,PA,02/14/90
Anakin,H,Gaga,Salisbury,MD,07/25/95
Galadriel,B,Greyjoy,Hilton Head,SC,10/19/98
Obi-wan,Z,Finlayson,Fredericksburg,VA,07/22/02
Poe,G,Tigh,Washington,DC,01/28/02
Steve,V,Pitt,Arlington,VA,12/14/02
Gimli,R,Perry,Faquier,VA,06/13/88
Saul,G,Andor,Baltimore,MD,05/20/82
Veena,T,Gaga,St. Marys,MD,01/28/02
Obi-wan,X,Tyrol,Pittsburgh,PA,01/04/02
Elrond,E,Trump,Charleston,SC,06/03/02
Hadley,S,Vale,Fredericksburg,VA,01/09/02
Rey,J,Thrace,Salisbury,MD,12/29/02
Tyrion,Q,Tyrell,Lynchburg,VA,01/08/91
Tyrion,C,Kenobi,Richmond,VA,05/10/02
Poe,N,Zeitz,Harrisburg,PA,03/02/94
Lady,Y,Aniston,Salisbury,MD,05/20/88
Tony,A,Organa,Blacksburg,VA,07/12/99
Tywin,B,Targaryen,Hilton Head,SC,02/14/01
Saul,Z,Malbus,Wilmington,NC,08/23/02
Finn,R,Targaryen,Alexandria,VA,03/04/92
Galadriel,N,Lannister,Geneva,NY,10/03/83
Cassian,Q,Pitt,Hilton Head,SC,03/06/81
Tyrion,G,Baggins,Stafford,VA,02/05/02
Sauron,K,Organa,Faquier,VA,06/26/02
Galadriel,J,Malbus,Raleigh,NC,12/17/93
Sauron,Z,Phasma,Baltimore,MD,01/20/83
Anakin,R,Anewalt,Greenville,SC,03/06/79
Aragorn,J,Targaryen,New York,NY,02/06/94
Legolas,P,Phasma,Raleigh,NC,10/07/02
Chirrut,H,Vale,Pittsburgh,PA,08/27/02
Baze,V,Finlayson,St. Marys,MD,08/27/02
Bodhi,H,Imwe,Baltimore,MD,03/19/02
Finn,C,Andor,St. Marys,MD,07/18/02
Cersei,V,Kenobi,Arlington,VA,06/01/80
Obi-wan,H,Anewalt,St. Marys,MD,08/04/02
Jamie,H,Andor,Pittsburgh,PA,08/02/88
Sharon,A,Vale,Albany,NY,02/13/02
Frodo,J,Finlayson,Richmond,VA,01/30/88
Galadriel,R,Tyrell,Hershey,PA,01/24/84
Hadley,D,Kenobi,Salisbury,MD,12/03/02
Yoda,U,Skywalker,Annapolis,MD,11/04/87
Baze,B,Baggins,St. Marys,MD,06/14/98
Stephen,E,Gaga,Washington,DC,03/11/71
Andrew,D,Skywalker,Faquier,VA,05/22/81
Anakin,C,Incredible,Washington,DC,02/03/02
Galen,G,Malbus,Baltimore,MD,09/26/87
Andrew,Q,Martell,Blacksburg,VA,01/11/85
Cassian,X,Zeitz,Greensboro,NC,12/08/82
Chirrut,Z,Anewalt,Annapolis,MD,06/01/98
Obi-wan,D,Thrace,Washington,DC,02/22/99
Obi-wan,G,Greyjoy,Greenville,SC,03/22/97
Pippin,Y,Wickham,Washington,DC,04/22/99
Baze,O,Organa,Fredericksburg,VA,12/17/84
Steve,M,Wickham,Geneva,NY,09/28/87
Zoe,X,Pitt,Raleigh,NC,04/21/02
Tywin,K,Rook,Harrisburg,PA,01/12/02
Jon,Y,Ravishankar,Hilton Head,SC,03/07/02
Sharon,M,Thrace,Arlington,VA,07/22/91
Natasha,Q,Davies,Faquier,VA,12/02/95
Chirrut,S,Rook,Brooklyn,NY,12/25/98
Steve,Q,Imwe,Blacksburg,VA,11/26/85
Hadley,Y,Lannister,Wilmington,NC,07/16/84
Jennifer,U,Kenobi,Hilton Head,SC,03/14/92
Galen,Q,Davies,Alexandria,VA,10/21/02
Zoe,M,Incredible,Fredericksburg,VA,07/15/02
Karen,Q,Rook,Lynchburg,VA,09/26/02
Jay,A,Adama,Greenville,SC,08/04/99
Darth,Z,Aniston,Lynchburg,VA,07/29/02
Tywin,A,Zeitz,Annapolis,MD,02/28/97
Tony,L,Ravishankar,Washington,DC,06/06/82
Anakin,G,Malbus,Brooklyn,NY,12/17/94
Apollo,M,Gaga,Rochester,NY,04/11/95
Lady,H,Phasma,Washington,DC,05/15/02
Cassian,X,Vale,York,PA,01/12/71
Gimli,R,Polack,Hilton Head,SC,02/14/91
Jennifer,V,Gamgee,Charlotte,NC,09/09/90
Sharon,X,Skywalker,Pittsburgh,PA,02/05/93
Yoda,X,Thrace,Richmond,VA,10/28/02
Aragorn,I,Kenobi,Hershey,PA,06/15/02
Matt,M,Baggins,Harrisburg,PA,10/21/82
Hadley,T,Rock,Raleigh,NC,07/15/87
Saruman,N,Greyjoy,Washington,DC,02/13/87
Steve,X,Aniston,Raleigh,NC,07/24/96
Gimli,D,Tarkin,Charleston,SC,10/24/78
Jon,V,Tigh,Asheville,NC,08/27/92
Gimli,A,Kenobi,Charlottesville,VA,03/02/86
Boomer,Z,Gerrera,Arlington,VA,04/07/02
Merry,R,Trump,Charleston,SC,03/21/92
Finn,D,Rock,Salisbury,MD,06/12/92
Gandalf,Z,Ravishankar,Greenville,SC,10/15/02
Mal,L,Greyjoy,Pittsburgh,PA,01/30/90
Beyonce,C,Greyjoy,Brooklyn,NY,02/23/92
Jennifer,Y,Greyjoy,Annapolis,MD,10/15/87
Apollo,R,Swift,Annapolis,MD,07/15/02
Ian,H,Vale,Rochester,NY,07/27/01
Saruman,L,Rook,Stafford,VA,01/07/98
Galadriel,M,Aniston,Asheville,NC,05/02/02
Darth,H,Baltar,Fredericksburg,VA,10/04/83
Taylor,C,Gaga,Annapolis,MD,08/05/97
Baze,Y,Thrace,Lynchburg,VA,10/11/87
Obi-wan,Z,Phasma,Asheville,NC,04/30/76
Robb,M,Vale,Fredericksburg,VA,02/19/02
Brad,A,Finlayson,St. Marys,MD,05/04/85
Saw,E,Polack,Pittsburgh,PA,01/05/83
Darth,E,Imwe,Charlottesville,VA,07/09/02
Frodo,J,Tarkin,Columbia,SC,02/07/84
Gimli,B,Kenobi,Salisbury,MD,11/25/97
Beyonce,K,Tyrol,Rochester,NY,04/11/77
Darth,D,Gaga,Annapolis,MD,12/30/02
Legolas,A,Adama,Rochester,NY,12/25/02
Arwen,W,Tyrell,Baltimore,MD,09/14/97
Sharon,O,Tyrell,St. Marys,MD,05/18/87
Sharon,N,Perry,Alexandria,VA,04/18/95
Apollo,K,Roslin,Pittsburgh,PA,11/05/01
Gaius,T,Davies,Greensboro,NC,04/12/91
Frodo,Q,Greyjoy,Blacksburg,VA,10/20/02
Beyonce,C,Gaga,Faquier,VA,10/26/00
Natasha,R,Stark,Geneva,NY,10/21/02
Saruman,W,Tarkin,St. Marys,MD,06/18/83
Merry,U,Aniston,St. Marys,MD,05/29/86
Baze,D,Zeitz,Salisbury,MD,03/03/02
Jessica,Y,Targaryen,Columbia,SC,01/17/92
Galen,Q,Erso,Pittsburgh,PA,05/13/94
Chirrut,D,Tigh,Blacksburg,VA,07/12/02
Baze,Y,Gamgee,Pittsburgh,PA,08/11/01
Legolas,Y,Baggins,Salisbury,MD,10/04/99
Bilbo,Q,Obama,Fredericksburg,VA,04/23/85
Galadriel,D,Incredible,Alexandria,VA,11/27/00
Elrond,M,Greyjoy,Blacksburg,VA,10/07/02
Poe,K,Polack,Geneva,NY,09/28/93
Halo,K,Gamgee,Arlington,VA,06/10/02
Robb,C,Thrace,Geneva,NY,11/06/96
Jennifer,Z,Phasma,Richmond,VA,03/15/91
Robb,C,Pitt,Charleston,SC,06/04/95
Halo,C,Pitt,Stafford,VA,04/25/94
Ian,X,Baggins,Columbia,SC,02/09/76
Luke,Y,Kenobi,Baltimore,MD,03/05/87
Boomer,U,Imwe,Salisbury,MD,07/19/96
Jessica,M,Finlayson,Alexandria,VA,01/24/02
Finn,P,Phasma,Salisbury,MD,07/19/93
Aragorn,J,Skywalker,Washington,DC,02/16/95
Legolas,V,Malbus,Spotsylvania,VA,05/06/93
Bruce,D,Roslin,Washington,DC,05/27/02
Tony,B,Tyrell,Harrisburg,PA,04/25/02
Legolas,R,Tyrell,Richmond,VA,04/23/02
Sam,K,Baggins,Washington,DC,10/22/02
Brad,T,Greyjoy,Faquier,VA,07/13/95
Sauron,U,Andor,Geneva,NY,07/03/97
Apollo,R,Zeitz,Annapolis,MD,10/21/81
Natasha,K,Davies,Lynchburg,VA,06/27/00
Pippin,C,Baltar,Baltimore,MD,10/27/93
Jennifer,L,Wickham,Baltimore,MD,11/29/87
Cassian,A,Polack,Annapolis,MD,10/30/02
Halo,O,Gaga,Hilton Head,SC,12/30/85
Laura,K,Gamgee,Alexandria,VA,05/15/80
Bruce,L,Targaryen,Charleston,SC,11/06/89
Boomer,G,Tyrol,Salisbury,MD,10/14/88
Galadriel,I,Malbus,Fredericksburg,VA,07/21/02
Taylor,G,Rook,St. Marys,MD,11/17/82
Jay,N,Greyjoy,Stafford,VA,01/05/78
Saruman,H,Polack,Richmond,VA,02/14/92
Brad,K,Greyjoy,Blacksburg,VA,12/26/86
Veena,B,Pitt,Annapolis,MD,02/09/99
Gaius,T,Anewalt,Harrisburg,PA,09/26/97
Galen,Z,Pitt,Fredericksburg,VA,07/13/02
Jennifer,A,Zeitz,New York,NY,08/28/02
Gaius,B,Tyrol,Albany,NY,07/22/02
Natasha,N,Baggins,St. Marys,MD,04/13/94
Natasha,O,Greyjoy,Richmond,VA,07/25/82
Bruce,U,Anders,Harrisburg,PA,04/12/02
Lady,B,Organa,Washington,DC,02/09/02
Jessica,O,Organa,Rochester,NY,05/10/84
Baze,S,Anders,Blacksburg,VA,07/03/00
